,variable,unit,value,Stellar flux,assumption
37,epsilon2,,0.37038491318464106,1035.3535353535353,WTG
38,epsilon3,,0.15927652860519292,1035.3535353535353,WTG
39,T1,K,272.76974169240367,1035.3535353535353,WBG
40,T2,K,243.34479860120913,1035.3535353535353,WBG
41,T3,K,243.383837101119,1035.3535353535353,WBG
42,T4,K,168.48220547550625,1035.3535353535353,WBG
43,Fa,W/$m^2$,70.085430780838,1035.3535353535353,WBG
44,Fc,W/$m^2$,91.12588250246897,1035.3535353535353,WBG
45,fc,,0.36185247438930135,1035.3535353535353,WBG
46,q1,kg/kg,0.0034129662936805364,1035.3535353535353,WBG
47,q2,kg/kg,0.0004623612335311959,1035.3535353535353,WBG
48,q3,kg/kg,0.00017338546257419845,1035.3535353535353,WBG
49,alpha_p,,0.4192857516942642,1035.3535353535353,WBG
50,epsilon2,,0.3702052041519246,1035.3535353535353,WBG
51,epsilon3,,0.1591865497449776,1035.3535353535353,WBG
52,T1,K,273.6402721592427,1070.7070707070707,WTG
53,T2,K,244.4957027464294,1070.7070707070707,WTG
54,T3,K,244.4957027464294,1070.7070707070707,WTG
55,T4,K,173.175078449905,1070.7070707070707,WTG
56,Fa,W/$m^2$,77.5485762136424,1070.7070707070707,WTG
57,Fc,W/$m^2$,99.47089773339935,1070.7070707070707,WTG
58,fc,,0.3687894488617767,1070.7070707070707,WTG
59,q1,kg/kg,0.0036359370887849513,1070.7070707070707,WTG
60,q2,kg/kg,0.0005134321631118206,1070.7070707070707,WTG
61,q3,kg/kg,0.0001925370611669327,1070.7070707070707,WTG
62,alpha_p,,0.4255983984642169,1070.7070707070707,WTG
63,epsilon2,,0.4015618871630313,1070.7070707070707,WTG
64,epsilon3,,0.17513625277592382,1070.7070707070707,WTG
65,T1,K,273.634429054112,1070.7070707070707,WBG
66,T2,K,244.4879261619233,1070.7070707070707,WBG
67,T3,K,244.5314461985819,1070.7070707070707,WBG
68,T4,K,173.1738889064082,1070.7070707070707,WBG
69,Fa,W/$m^2$,77.55119961730205,1070.7070707070707,WBG
70,Fc,W/$m^2$,99.46557339401681,1070.7070707070707,WBG
71,fc,,0.36878520924167874,1070.7070707070707,WBG
72,q1,kg/kg,0.0036343977264711876,1070.7070707070707,WBG
73,q2,kg/kg,0.0005130705075541357,1070.7070707070707,WBG
74,q3,kg/kg,0.00019240144033280085,1070.7070707070707,WBG
75,alpha_p,,0.42559454040992767,1070.7070707070707,WBG
76,epsilon2,,0.4013454195525956,1070.7070707070707,WBG
77,epsilon3,,0.17502437648027336,1070.7070707070707,WBG
78,T1,K,274.44457322637487,1106.060606060606,WTG
79,T2,K,245.57275790398785,1106.060606060606,WTG
80,T3,K,245.57275790398785,1106.060606060606,WTG
81,T4,K,177.62191332778158,1106.060606060606,WTG
82,Fa,W/$m^2$,85.07117764726193,1106.060606060606,WTG
83,Fc,W/$m^2$,107.94692596504208,1106.060606060606,WTG
84,fc,,0.37526886767154344,1106.060606060606,WTG
85,q1,kg/kg,0.003853525069656933,1106.060606060606,WTG
86,q2,kg/kg,0.0005658225564044648,1106.060606060606,WTG
87,q3,kg/kg,0.0002121834586516743,1106.060606060606,WTG
88,alpha_p,,0.4314946695811045,1106.060606060606,WTG
89,epsilon2,,0.43210716929796156,1106.060606060606,WTG
90,epsilon3,,0.1911837003933068,1106.060606060606,WTG
91,T1,K,274.4379824080268,1106.060606060606,WBG
92,T2,K,245.56387887509482,1106.060606060606,WBG
93,T3,K,245.612042284258,1106.060606060606,WBG
94,T4,K,177.61998377010448,1106.060606060606,WBG
95,Fa,W/$m^2$,85.07391588809855,1106.060606060606,WBG
96,Fc,W/$m^2$,107.93922378417452,1106.060606060606,WBG
97,fc,,0.37526321174095423,1106.060606060606,WBG
98,q1,kg/kg,0.0038516953810081096,1106.060606060606,WBG
99,q2,kg/kg,0.000565371481680856,1106.060606060606,WBG
100,q3,kg/kg,0.000212014305630321,1106.060606060606,WBG
101,alpha_p,,0.4314895226842683,1106.060606060606,WBG
102,epsilon2,,0.4318509494135008,1106.060606060606,WBG
103,epsilon3,,0.1910468751006289,1106.060606060606,WBG
104,T1,K,275.1967436555703,1141.4141414141413,WTG
105,T2,K,246.59178104959435,1141.4141414141413,WTG
106,T3,K,246.59178104959435,1141.4141414141413,WTG
107,T4,K,181.85012664327672,1141.4141414141413,WTG
108,Fa,W/$m^2$,92.62759442929351,1141.4141414141413,WTG
109,Fc,W/$m^2$,116.52189460549678,1141.4141414141413,WTG
110,fc,,0.38132997226349413,1141.4141414141413,WTG
111,q1,kg/kg,0.004067556391092361,1141.4141414141413,WTG
112,q2,kg/kg,0.0006198205208603797,1141.4141414141413,WTG
113,q3,kg/kg,0.00023243269532264237,1141.4141414141413,WTG
114,alpha_p,,0.4370102747597797,1141.4141414141413,WTG
115,epsilon2,,0.46195900393564615,1141.4141414141413,WTG
116,epsilon3,,0.20739690655291865,1141.4141414141413,WTG
117,T1,K,275.18936042827215,1141.4141414141413,WBG
118,T2,K,246.58172368582945,1141.4141414141413,WBG
119,T3,K,246.63469241179035,1141.4141414141413,WBG
120,T4,K,181.84736860181408,1141.4141414141413,WBG
121,Fa,W/$m^2$,92.63050059556517,1141.4141414141413,WBG
122,Fc,W/$m^2$,116.51151046914765,1141.4141414141413,WBG
123,fc,,0.3813229032180688,1141.4141414141413,WBG
124,q1,kg/kg,0.004065404457661247,1141.4141414141413,WBG
125,q2,kg/kg,0.0006192654442097309,1141.4141414141413,WBG
126,q3,kg/kg,0.00023222454157864904,1141.4141414141413,WBG
127,alpha_p,,0.4370038419284426,1141.4141414141413,WBG
128,epsilon2,,0.46166026703837115,1141.4141414141413,WBG
129,epsilon3,,0.20723190607937947,1141.4141414141413,WBG
130,T1,K,275.90419782872215,1176.7676767676767,WTG
131,T2,K,247.56043845621903,1176.7676767676767,WTG
132,T3,K,247.56043845621903,1176.7676767676767,WTG
133,T4,K,185.88322013101467,1176.7676767676767,WTG
134,Fa,W/$m^2$,100.19914932399772,1176.7676767676767,WTG
135,Fc,W/$m^2$,125.16661595770873,1176.7676767676767,WTG
136,fc,,0.38700827058311255,1176.7676767676767,WTG
137,q1,kg/kg,0.004278577852160353,1176.7676767676767,WTG
138,q2,kg/kg,0.0006754518493327903,1176.7676767676767,WTG
139,q3,kg/kg,0.00025329444349979634,1176.7676767676767,WTG
140,alpha_p,,0.44217752623063244,1176.7676767676767,WTG
141,epsilon2,,0.49107358941253776,1176.7676767676767,WTG
142,epsilon3,,0.22376071044146095,1176.7676767676767,WTG
143,T1,K,275.89597417206875,1176.7676767676767,WBG
144,T2,K,247.54912238937493,1176.7676767676767,WBG
145,T3,K,247.60706059372737,1176.7676767676767,WBG
146,T4,K,185.87954026068783,1176.7676767676767,WBG
147,Fa,W/$m^2$,100.20230415375595,1176.7676767676767,WBG
148,Fc,W/$m^2$,125.15326816761265,1176.7676767676767,WBG
149,fc,,0.38699980653984156,1176.7676767676767,WBG
150,q1,kg/kg,0.004276069268348316,1176.7676767676767,WBG
151,q2,kg/kg,0.0006747765696175972,1176.7676767676767,WBG
152,q3,kg/kg,0.0002530412136065989,1176.7676767676767,WBG
153,alpha_p,,0.4421698239512558,1176.7676767676767,WBG
154,epsilon2,,0.49072980566891167,1176.7676767676767,WBG
155,epsilon3,,0.22356411855865022,1176.7676767676767,WBG
156,T1,K,276.5731249078831,1212.121212121212,WTG
157,T2,K,248.48525788880121,1212.121212121212,WTG
158,T3,K,248.48525788880121,1212.121212121212,WTG
159,T4,K,189.7417685682907,1212.121212121212,WTG
160,Fa,W/$m^2$,107.77072120508211,1212.121212121212,WTG
161,Fc,W/$m^2$,133.85689749363635,1212.121212121212,WTG
162,fc,,0.3923371358124601,1212.121212121212,WTG
163,q1,kg/kg,0.00448712708739399,1212.121212121212,WTG
164,q2,kg/kg,0.0007327626108920107,1212.121212121212,WTG
165,q3,kg/kg,0.000274785979084504,1212.121212121212,WTG
166,alpha_p,,0.44702679358933867,1212.121212121212,WTG
